t_ms,Vc_V,ic_mA
0.000000,0.00000000,0.50000000
0.100050,0.01249063,0.49875094
0.200100,0.02495005,0.49750500
0.300150,0.03737835,0.49626217
0.400200,0.04977559,0.49502244
0.500250,0.06214187,0.49378581
0.600300,0.07447726,0.49255227
0.700350,0.08678183,0.49132182
0.800400,0.09905567,0.49009443
0.900450,0.11129884,0.48887012
1.000500,0.12351143,0.48764886
1.100550,0.13569351,0.48643065
1.200600,0.14784515,0.48521548
1.300650,0.15996644,0.48400336
1.400700,0.17205745,0.48279425
1.500750,0.18411826,0.48158817
1.600800,0.19614893,0.48038511
1.700850,0.20814955,0.47918504
1.800900,0.22012019,0.47798798
1.900950,0.23206093,0.47679391
2.001001,0.24397184,0.47560282
2.101051,0.25585299,0.47441470
2.201101,0.26770447,0.47322955
2.301151,0.27952633,0.47204737
2.401201,0.29131867,0.47086813
2.501251,0.30308154,0.46969185
2.601301,0.31481503,0.46851850
2.701351,0.32651921,0.46734808
2.801401,0.33819415,0.46618059
2.901451,0.34983992,0.46501601
3.001501,0.36145660,0.46385434
3.101551,0.37304427,0.46269557
3.201601,0.38460298,0.46153970
3.301651,0.39613282,0.46038672
3.401701,0.40763386,0.45923661
3.501751,0.41910616,0.45808938
3.601801,0.43054981,0.45694502
3.701851,0.44196486,0.45580351
3.801901,0.45335141,0.45466486
3.901951,0.46470950,0.45352905
4.002001,0.47603923,0.45239608
4.102051,0.48734065,0.45126594
4.202101,0.49861383,0.45013862
4.302151,0.50985886,0.44901411
4.402201,0.52107579,0.44789242
4.502251,0.53226471,0.44677353
4.602301,0.54342567,0.44565743
4.702351,0.55455875,0.44454413
4.802401,0.56566402,0.44343360
4.902451,0.57674154,0.44232585
5.002501,0.58779140,0.44122086
5.102551,0.59881365,0.44011864
5.202601,0.60980836,0.43901916
5.302651,0.62077561,0.43792244
5.402701,0.63171546,0.43682845
5.502751,0.64262798,0.43573720
5.602801,0.65351324,0.43464868
5.702851,0.66437131,0.43356287
5.802901,0.67520225,0.43247977
5.902951,0.68600614,0.43139939
6.003002,0.69678303,0.43032170
6.103052,0.70753301,0.42924670
6.203102,0.71825613,0.42817439
6.303152,0.72895246,0.42710475
6.403202,0.73962207,0.42603779
6.503252,0.75026503,0.42497350
6.603302,0.76088140,0.42391186
6.703352,0.77147124,0.42285288
6.803402,0.78203464,0.42179654
6.903452,0.79257164,0.42074284
7.003502,0.80308233,0.41969177
7.103552,0.81356675,0.41864332
7.203602,0.82402499,0.41759750
7.303652,0.83445709,0.41655429
7.403702,0.84486314,0.41551369
7.503752,0.85524319,0.41447568
7.603802,0.86559731,0.41344027
7.703852,0.87592557,0.41240744
7.803902,0.88622802,0.41137720
7.903952,0.89650474,0.41034953
8.004002,0.90675578,0.40932442
8.104052,0.91698122,0.40830188
8.204102,0.92718111,0.40728189
8.304152,0.93735552,0.40626445
8.404202,0.94750452,0.40524955
8.504252,0.95762816,0.40423718
8.604302,0.96772651,0.40322735
8.704352,0.97779963,0.40222004
8.804402,0.98784759,0.40121524
8.904452,0.99787045,0.40021295
9.004502,1.00786827,0.39921317
9.104552,1.01784112,0.39821589
9.204602,1.02778905,0.39722110
9.304652,1.03771213,0.39622879
9.404702,1.04761042,0.39523896
9.504752,1.05748398,0.39425160
9.604802,1.06733288,0.39326671
9.704852,1.07715717,0.39228428
9.804902,1.08695693,0.39130431
9.904952,1.09673220,0.39032678
10.005003,1.10648305,0.38935170
10.105053,1.11620954,0.38837905
10.205103,1.12591174,0.38740883
10.305153,1.13558969,0.38644103
10.405203,1.14524347,0.38547565
10.505253,1.15487314,0.38451269
10.605303,1.16447874,0.38355213
10.705353,1.17406036,0.38259396
10.805403,1.18361803,0.38163820
10.905453,1.19315183,0.38068482
11.005503,1.20266182,0.37973382
11.105553,1.21214804,0.37878520
11.205603,1.22161057,0.37783894
11.305653,1.23104946,0.37689505
